Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USIMPGSAA,"United States Imports of Goods and Services (Bil. of $, NA)",Exports and Imports,United States Dollar,United States,,,,,,,National Currency,Billions,Annual,none,Annual From Jan 1929 To Jan 2020<BR>,"Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close
12/31/1969,USIMPGSAA,,,,50.5
12/31/1970,USIMPGSAA,,,,55.8
12/31/1971,USIMPGSAA,,,,62.3
12/31/1972,USIMPGSAA,,,,74.2
12/31/1973,USIMPGSAA,,,,91.2
12/31/1974,USIMPGSAA,,,,127.5
12/31/1975,USIMPGSAA,,,,122.7
12/31/1976,USIMPGSAA,,,,151.1
12/31/1977,USIMPGSAA,,,,182.4
12/31/1978,USIMPGSAA,,,,212.3
12/31/1979,USIMPGSAA,,,,252.7
12/31/1980,USIMPGSAA,,,,293.8
12/31/1981,USIMPGSAA,,,,317.8
12/31/1982,USIMPGSAA,,,,303.2
12/31/1983,USIMPGSAA,,,,328.6
12/31/1984,USIMPGSAA,,,,405.1
12/31/1985,USIMPGSAA,,,,417.2
12/31/1986,USIMPGSAA,,,,452.9
12/31/1987,USIMPGSAA,,,,508.7
12/31/1988,USIMPGSAA,,,,554
12/31/1989,USIMPGSAA,,,,591
12/31/1990,USIMPGSAA,,,,629.7
12/31/1991,USIMPGSAA,,,,623.5
12/31/1992,USIMPGSAA,,,,667.8
12/31/1993,USIMPGSAA,,,,720
12/31/1994,USIMPGSAA,,,,813.4
12/31/1995,USIMPGSAA,,,,902.6
12/31/1996,USIMPGSAA,,,,964
12/31/1997,USIMPGSAA,,,,1055.8
12/31/1998,USIMPGSAA,,,,1115.7
12/31/1999,USIMPGSAA,,,,1248.6
12/31/2000,USIMPGSAA,,,,1472.6
12/31/2001,USIMPGSAA,,,,1395.4
12/31/2002,USIMPGSAA,,,,1429
12/31/2003,USIMPGSAA,,,,1543.9
12/31/2004,USIMPGSAA,,,,1800.7
12/31/2005,USIMPGSAA,,,,2030.1
12/31/2006,USIMPGSAA,,,,2247.3
12/31/2007,USIMPGSAA,,,,2383.2
12/31/2008,USIMPGSAA,,,,2565
12/31/2009,USIMPGSAA,,,,1983.2
12/31/2010,USIMPGSAA,,,,2365
12/31/2011,USIMPGSAA,,,,2686.4
12/31/2012,USIMPGSAA,,,,2762.5
12/31/2013,USIMPGSAA,,,,2770.4
12/31/2014,USIMPGSAA,,,,2875
01/01/2015,USIMPGSAA,,,,2792.433
01/01/2016,USIMPGSAA,,,,2739.686
01/01/2017,USIMPGSAA,,,,2930.093
01/01/2018,USIMPGSAA,,,,3138.164
01/01/2019,USIMPGSAA,,,,3125.221
01/01/2020,USIMPGSAA,,,,2771.541
