Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USPAYEMSM,"United States Total Nonfarm Payrolls: All Employees (Thous., SA)",Employment,Non Currency Series,United States,,,,,,,Units,Thousands,Stock,none,Monthly From Jan 1939 To Jan 2021<BR>,"Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.  Handbook of Methods Establishment Survey - (http://www.bls.gov/opub/hom/pdf/homch2.pdf) Frequently Asked Questions - (http://stats.bls.gov:80/cps/cps_faq.htm)",
Date,Ticker,Open,High,Low,Close
01/31/1939,USPAYEMSM,,,,29923
02/28/1939,USPAYEMSM,,,,30100
03/31/1939,USPAYEMSM,,,,30280
04/30/1939,USPAYEMSM,,,,30094
05/31/1939,USPAYEMSM,,,,30299
06/30/1939,USPAYEMSM,,,,30502
07/31/1939,USPAYEMSM,,,,30419
08/31/1939,USPAYEMSM,,,,30663
09/30/1939,USPAYEMSM,,,,31031
10/31/1939,USPAYEMSM,,,,31411
11/30/1939,USPAYEMSM,,,,31470
12/31/1939,USPAYEMSM,,,,31542
01/31/1940,USPAYEMSM,,,,31603
02/29/1940,USPAYEMSM,,,,31715
03/31/1940,USPAYEMSM,,,,31825
04/30/1940,USPAYEMSM,,,,31701
05/31/1940,USPAYEMSM,,,,31879
06/30/1940,USPAYEMSM,,,,31977
07/31/1940,USPAYEMSM,,,,31942
08/31/1940,USPAYEMSM,,,,32352
09/30/1940,USPAYEMSM,,,,32810
10/31/1940,USPAYEMSM,,,,33267
11/30/1940,USPAYEMSM,,,,33669
12/31/1940,USPAYEMSM,,,,34174
01/31/1941,USPAYEMSM,,,,34481
02/28/1941,USPAYEMSM,,,,34843
03/31/1941,USPAYEMSM,,,,35092
04/30/1941,USPAYEMSM,,,,35468
05/31/1941,USPAYEMSM,,,,36182
06/30/1941,USPAYEMSM,,,,36650
07/31/1941,USPAYEMSM,,,,37137
08/31/1941,USPAYEMSM,,,,37544
09/30/1941,USPAYEMSM,,,,37835
10/31/1941,USPAYEMSM,,,,37949
11/30/1941,USPAYEMSM,,,,38024
12/31/1941,USPAYEMSM,,,,38104
01/31/1942,USPAYEMSM,,,,38347
02/28/1942,USPAYEMSM,,,,38512
03/31/1942,USPAYEMSM,,,,38935
04/30/1942,USPAYEMSM,,,,39352
05/31/1942,USPAYEMSM,,,,39771
06/30/1942,USPAYEMSM,,,,40029
07/31/1942,USPAYEMSM,,,,40472
08/31/1942,USPAYEMSM,,,,40988
09/30/1942,USPAYEMSM,,,,41259
10/31/1942,USPAYEMSM,,,,41515
11/30/1942,USPAYEMSM,,,,41674
12/31/1942,USPAYEMSM,,,,41915
01/31/1943,USPAYEMSM,,,,42172
02/28/1943,USPAYEMSM,,,,42393
03/31/1943,USPAYEMSM,,,,42552
04/30/1943,USPAYEMSM,,,,42647
05/31/1943,USPAYEMSM,,,,42596
06/30/1943,USPAYEMSM,,,,42781
07/31/1943,USPAYEMSM,,,,42700
08/31/1943,USPAYEMSM,,,,42546
09/30/1943,USPAYEMSM,,,,42492
10/31/1943,USPAYEMSM,,,,42675
11/30/1943,USPAYEMSM,,,,42821
12/31/1943,USPAYEMSM,,,,42746
01/31/1944,USPAYEMSM,,,,42654
02/29/1944,USPAYEMSM,,,,42538
03/31/1944,USPAYEMSM,,,,42294
04/30/1944,USPAYEMSM,,,,42063
05/31/1944,USPAYEMSM,,,,41985
06/30/1944,USPAYEMSM,,,,41947
07/31/1944,USPAYEMSM,,,,41904
08/31/1944,USPAYEMSM,,,,41850
09/30/1944,USPAYEMSM,,,,41679
10/31/1944,USPAYEMSM,,,,41708
11/30/1944,USPAYEMSM,,,,41711
12/31/1944,USPAYEMSM,,,,41860
01/31/1945,USPAYEMSM,,,,41895
02/28/1945,USPAYEMSM,,,,41897
03/31/1945,USPAYEMSM,,,,41798
04/30/1945,USPAYEMSM,,,,41446
05/31/1945,USPAYEMSM,,,,41304
06/30/1945,USPAYEMSM,,,,41149
07/31/1945,USPAYEMSM,,,,40874
08/31/1945,USPAYEMSM,,,,40466
09/30/1945,USPAYEMSM,,,,38507
10/31/1945,USPAYEMSM,,,,38600
11/30/1945,USPAYEMSM,,,,38996
12/31/1945,USPAYEMSM,,,,39110
01/31/1946,USPAYEMSM,,,,39829
02/28/1946,USPAYEMSM,,,,39244
03/31/1946,USPAYEMSM,,,,40195
04/30/1946,USPAYEMSM,,,,40913
05/31/1946,USPAYEMSM,,,,41349
06/30/1946,USPAYEMSM,,,,41735
07/31/1946,USPAYEMSM,,,,42153
08/31/1946,USPAYEMSM,,,,42642
09/30/1946,USPAYEMSM,,,,42915
10/31/1946,USPAYEMSM,,,,43093
11/30/1946,USPAYEMSM,,,,43395
12/31/1946,USPAYEMSM,,,,43379
01/31/1947,USPAYEMSM,,,,43535
02/28/1947,USPAYEMSM,,,,43557
03/31/1947,USPAYEMSM,,,,43607
04/30/1947,USPAYEMSM,,,,43499
05/31/1947,USPAYEMSM,,,,43638
06/30/1947,USPAYEMSM,,,,43810
07/31/1947,USPAYEMSM,,,,43743
08/31/1947,USPAYEMSM,,,,43960
09/30/1947,USPAYEMSM,,,,44203
10/31/1947,USPAYEMSM,,,,44411
11/30/1947,USPAYEMSM,,,,44484
12/31/1947,USPAYEMSM,,,,44581
01/31/1948,USPAYEMSM,,,,44679
02/29/1948,USPAYEMSM,,,,44533
03/31/1948,USPAYEMSM,,,,44683
04/30/1948,USPAYEMSM,,,,44379
05/31/1948,USPAYEMSM,,,,44796
06/30/1948,USPAYEMSM,,,,45034
07/31/1948,USPAYEMSM,,,,45160
08/31/1948,USPAYEMSM,,,,45178
09/30/1948,USPAYEMSM,,,,45294
10/31/1948,USPAYEMSM,,,,45245
11/30/1948,USPAYEMSM,,,,45192
12/31/1948,USPAYEMSM,,,,45032
01/31/1949,USPAYEMSM,,,,44668
02/28/1949,USPAYEMSM,,,,44497
03/31/1949,USPAYEMSM,,,,44240
04/30/1949,USPAYEMSM,,,,44236
05/31/1949,USPAYEMSM,,,,43984
06/30/1949,USPAYEMSM,,,,43739
07/31/1949,USPAYEMSM,,,,43531
08/31/1949,USPAYEMSM,,,,43624
09/30/1949,USPAYEMSM,,,,43780
10/31/1949,USPAYEMSM,,,,42942
11/30/1949,USPAYEMSM,,,,43242
12/31/1949,USPAYEMSM,,,,43522
01/31/1950,USPAYEMSM,,,,43526
02/28/1950,USPAYEMSM,,,,43297
03/31/1950,USPAYEMSM,,,,43954
04/30/1950,USPAYEMSM,,,,44382
05/31/1950,USPAYEMSM,,,,44718
06/30/1950,USPAYEMSM,,,,45083
07/31/1950,USPAYEMSM,,,,45454
08/31/1950,USPAYEMSM,,,,46192
09/30/1950,USPAYEMSM,,,,46438
10/31/1950,USPAYEMSM,,,,46706
11/30/1950,USPAYEMSM,,,,46776
12/31/1950,USPAYEMSM,,,,46861
01/31/1951,USPAYEMSM,,,,47288
02/28/1951,USPAYEMSM,,,,47577
