Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
GBPUSD,US Dollars per British Pound,Exchange Rates - Market,United Kingdom Pound,United Kingdom,,,,,,,Currency Units,Units,Stock,none,Monthly From Apr 1660 To Jan 1855<BR>Weekly From Jan 1855 To Dec 1858<BR>Monthly From Jan 1859 To Dec 1861<BR>Daily From Jan 1862 To Feb 2021<BR>,"Sources: John J. McCusker, Money and Exchange in Europe and America, 1600-1775: A Handbook, Chapel HIll: University of North Carolina Press, 1978 (1640-1775), The Course of the Exchange (1640-1850) and The Economist (1850-1914) in Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 (1640-1914), Henry Phillips, Historical Sketches of the Paper Currency of the American Colonies, New York: Burt Franklin, 1865-1866 (1969), National Monetary Commission, Statistics for Great Britain, Germany, and France, Washington, D.C., Vol. XXI, 1910 (1888-1912), Franz Pick, Pick's Currency Yearbook, New York: Pick's World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Commercial and Financial Chronicle; Federal Reserve Board, Federal Reserve Bulletin, Washington D.C.: U.S. Government Printing Office; Ufficio Italiano dei Cambi; Bundesbank, Exchange Rate Statistics; Reuters, Schweizerisches Nationalbank, Monatsbericht, Zurich; Bank of England <br />Notes: From April 1949 to November 1952, the data in the ""low"" column is the black market rate for Pound Sterling while the data in the other columns is the official exchange rate for Pound Sterling. Before 1793, colonial currencies rather than the U.S. dollar were used for trade between London and the U.S. We have converted the colonial currencies to the British exchange rate in order that a long-term exchange rate can be presented.  The Massachusetts Shilling is used from 1640 to 1699 and the Pennsylvania Shilling is used from 1700 to 1792. During the Revolutionary War, states adopted depreciation schedules for the Continental Dollar, and the Pennsylvania depreciation schedule is used from 1777 to 1781. A conversion rate of 3 Dollars to 8 Pennsylvania Shillings is used in 1792.  Another problem lies with the civil war period when the United States went off the gold standard. Although The U.S. was off the gold standard from 1862 to 1864, a gold premium on the dollar can be used to determine the equivalent value of the paper and gold dollar. The gold value of the dollar is provided in the “high” column, the paper value of the dollar in the “low” column and the market rate on the dollar in the “close” column.  <br />The United Kingdom adopted the gold standard, in principle, on June 22, 1816, and the UK departed from gold in June 1914 when World War I began.  The UK returned to gold in April 28, 1925 with 1 Pound Sterling = 4.86653 U.S. Dollars, then permanently abandoned gold for paper on September 21, 1931. The pound was pegged at 4.03 dollars in March 1940, devalued to 2.8 U.S. Dollars on September 18,1949 and 2.40 U.S. Dollars on November 18, 1967. The United Kingdom introduced a decimal system on February 15, 1971. <br />The Falkland Islands Pound, Gibralter Pound, Isle of Man Pound, Guernsey Pound, and St. Helena Pound are linked to the British Pound at Parity.",
Date,Ticker,Open,High,Low,Close
01/02/1980,GBPUSD,2.2475,2.2475,2.2475,2.2475
01/03/1980,GBPUSD,2.236,2.236,2.236,2.236
01/04/1980,GBPUSD,2.2405,2.2405,2.2405,2.2405
01/07/1980,GBPUSD,2.265,2.265,2.265,2.265
01/08/1980,GBPUSD,2.2573,2.2573,2.2573,2.2573
01/09/1980,GBPUSD,2.266,2.266,2.266,2.266
01/10/1980,GBPUSD,2.2545,2.2545,2.2545,2.2545
01/11/1980,GBPUSD,2.2645,2.2645,2.2645,2.2645
01/14/1980,GBPUSD,2.286,2.286,2.286,2.286
01/15/1980,GBPUSD,2.2845,2.2845,2.2845,2.2845
01/16/1980,GBPUSD,2.271,2.271,2.271,2.271
01/17/1980,GBPUSD,2.2785,2.2785,2.2785,2.2785
01/18/1980,GBPUSD,2.286,2.286,2.286,2.286
01/21/1980,GBPUSD,2.277,2.277,2.277,2.277
01/22/1980,GBPUSD,2.277,2.277,2.277,2.277
01/23/1980,GBPUSD,2.279,2.279,2.279,2.279
01/24/1980,GBPUSD,2.2785,2.2785,2.2785,2.2785
01/25/1980,GBPUSD,2.261,2.261,2.261,2.261
01/28/1980,GBPUSD,2.254,2.254,2.254,2.254
01/29/1980,GBPUSD,2.2645,2.2645,2.2645,2.2645
01/30/1980,GBPUSD,2.2642,2.2642,2.2642,2.2642
01/31/1980,GBPUSD,2.2668,2.2668,2.2668,2.2668
02/01/1980,GBPUSD,2.275,2.275,2.275,2.275
02/04/1980,GBPUSD,2.292,2.292,2.292,2.292
02/05/1980,GBPUSD,2.288,2.288,2.288,2.288
02/06/1980,GBPUSD,2.316,2.316,2.316,2.316
02/07/1980,GBPUSD,2.3045,2.3045,2.3045,2.3045
02/08/1980,GBPUSD,2.2975,2.2975,2.2975,2.2975
02/11/1980,GBPUSD,2.3055,2.3055,2.3055,2.3055
02/13/1980,GBPUSD,2.3084,2.3084,2.3084,2.3084
02/14/1980,GBPUSD,2.309,2.309,2.309,2.309
02/15/1980,GBPUSD,2.3005,2.3005,2.3005,2.3005
02/19/1980,GBPUSD,2.2735,2.2735,2.2735,2.2735
02/20/1980,GBPUSD,2.28,2.28,2.28,2.28
02/21/1980,GBPUSD,2.288,2.288,2.288,2.288
02/22/1980,GBPUSD,2.269,2.269,2.269,2.269
02/25/1980,GBPUSD,2.2725,2.2725,2.2725,2.2725
02/26/1980,GBPUSD,2.2795,2.2795,2.2795,2.2795
02/27/1980,GBPUSD,2.2848,2.2848,2.2848,2.2848
02/28/1980,GBPUSD,2.285,2.285,2.285,2.285
02/29/1980,GBPUSD,2.2625,2.2625,2.2625,2.2625
03/03/1980,GBPUSD,2.237,2.237,2.237,2.237
03/04/1980,GBPUSD,2.239,2.239,2.239,2.239
03/05/1980,GBPUSD,2.243,2.243,2.243,2.243
03/06/1980,GBPUSD,2.233,2.233,2.233,2.233
