Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USBOPGSTBM,"United States Trade Balance: Goods and Services, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Billions,Stock,SA,Monthly From Jan 1992 To Dec 2020<BR>,"Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury. ",
Date,Ticker,Open,High,Low,Close
01/31/1992,USBOPGSTBM,,,,-2026
02/29/1992,USBOPGSTBM,,,,-831
03/31/1992,USBOPGSTBM,,,,-2641
04/30/1992,USBOPGSTBM,,,,-3109
05/31/1992,USBOPGSTBM,,,,-3919
06/30/1992,USBOPGSTBM,,,,-2824
07/31/1992,USBOPGSTBM,,,,-2781
08/31/1992,USBOPGSTBM,,,,-4455
09/30/1992,USBOPGSTBM,,,,-3530
10/31/1992,USBOPGSTBM,,,,-3520
11/30/1992,USBOPGSTBM,,,,-3968
12/31/1992,USBOPGSTBM,,,,-5603
01/31/1993,USBOPGSTBM,,,,-3871
02/28/1993,USBOPGSTBM,,,,-3596
03/31/1993,USBOPGSTBM,,,,-6777
04/30/1993,USBOPGSTBM,,,,-6445
05/31/1993,USBOPGSTBM,,,,-4369
06/30/1993,USBOPGSTBM,,,,-6929
07/31/1993,USBOPGSTBM,,,,-6382
08/31/1993,USBOPGSTBM,,,,-5581
09/30/1993,USBOPGSTBM,,,,-7031
10/31/1993,USBOPGSTBM,,,,-6594
11/30/1993,USBOPGSTBM,,,,-7016
12/31/1993,USBOPGSTBM,,,,-5719
01/31/1994,USBOPGSTBM,,,,-6207
02/28/1994,USBOPGSTBM,,,,-9245
03/31/1994,USBOPGSTBM,,,,-6466
04/30/1994,USBOPGSTBM,,,,-7887
05/31/1994,USBOPGSTBM,,,,-7728
06/30/1994,USBOPGSTBM,,,,-8380
07/31/1994,USBOPGSTBM,,,,-8739
08/31/1994,USBOPGSTBM,,,,-8303
09/30/1994,USBOPGSTBM,,,,-8310
10/31/1994,USBOPGSTBM,,,,-9158
11/30/1994,USBOPGSTBM,,,,-9615
12/31/1994,USBOPGSTBM,,,,-8456
01/31/1995,USBOPGSTBM,,,,-9324
02/28/1995,USBOPGSTBM,,,,-8817
03/31/1995,USBOPGSTBM,,,,-9708
04/30/1995,USBOPGSTBM,,,,-9609
05/31/1995,USBOPGSTBM,,,,-9090
06/30/1995,USBOPGSTBM,,,,-10623
07/31/1995,USBOPGSTBM,,,,-7688
08/31/1995,USBOPGSTBM,,,,-6704
09/30/1995,USBOPGSTBM,,,,-5924
10/31/1995,USBOPGSTBM,,,,-6114
11/30/1995,USBOPGSTBM,,,,-6514
12/31/1995,USBOPGSTBM,,,,-6271
01/31/1996,USBOPGSTBM,,,,-8465
02/29/1996,USBOPGSTBM,,,,-7319
03/31/1996,USBOPGSTBM,,,,-7756
04/30/1996,USBOPGSTBM,,,,-8744
05/31/1996,USBOPGSTBM,,,,-9259
06/30/1996,USBOPGSTBM,,,,-7460
07/31/1996,USBOPGSTBM,,,,-10132
08/31/1996,USBOPGSTBM,,,,-10357
09/30/1996,USBOPGSTBM,,,,-10195
10/31/1996,USBOPGSTBM,,,,-6635
11/30/1996,USBOPGSTBM,,,,-7268
12/31/1996,USBOPGSTBM,,,,-10475
01/31/1997,USBOPGSTBM,,,,-11269
02/28/1997,USBOPGSTBM,,,,-9776
03/31/1997,USBOPGSTBM,,,,-8383
04/30/1997,USBOPGSTBM,,,,-8086
05/31/1997,USBOPGSTBM,,,,-8394
06/30/1997,USBOPGSTBM,,,,-7154
07/31/1997,USBOPGSTBM,,,,-7033
08/31/1997,USBOPGSTBM,,,,-8743
09/30/1997,USBOPGSTBM,,,,-9269
10/31/1997,USBOPGSTBM,,,,-9089
11/30/1997,USBOPGSTBM,,,,-9786
12/31/1997,USBOPGSTBM,,,,-11289
01/31/1998,USBOPGSTBM,,,,-10776
02/28/1998,USBOPGSTBM,,,,-11564
03/31/1998,USBOPGSTBM,,,,-12880
04/30/1998,USBOPGSTBM,,,,-13940
05/31/1998,USBOPGSTBM,,,,-14202
06/30/1998,USBOPGSTBM,,,,-13247
07/31/1998,USBOPGSTBM,,,,-13949
08/31/1998,USBOPGSTBM,,,,-16028
09/30/1998,USBOPGSTBM,,,,-14820
10/31/1998,USBOPGSTBM,,,,-14815
11/30/1998,USBOPGSTBM,,,,-15173
12/31/1998,USBOPGSTBM,,,,-14745
01/31/1999,USBOPGSTBM,,,,-15876
02/28/1999,USBOPGSTBM,,,,-18468
03/31/1999,USBOPGSTBM,,,,-17719
04/30/1999,USBOPGSTBM,,,,-17946
05/31/1999,USBOPGSTBM,,,,-20046
06/30/1999,USBOPGSTBM,,,,-22892
07/31/1999,USBOPGSTBM,,,,-23100
08/31/1999,USBOPGSTBM,,,,-22626
09/30/1999,USBOPGSTBM,,,,-22699
10/31/1999,USBOPGSTBM,,,,-23372
11/30/1999,USBOPGSTBM,,,,-25126
12/31/1999,USBOPGSTBM,,,,-25939
01/31/2000,USBOPGSTBM,,,,-27131
02/29/2000,USBOPGSTBM,,,,-29794
03/31/2000,USBOPGSTBM,,,,-30557
04/30/2000,USBOPGSTBM,,,,-28598
05/31/2000,USBOPGSTBM,,,,-29165
06/30/2000,USBOPGSTBM,,,,-30405
07/31/2000,USBOPGSTBM,,,,-31252
08/31/2000,USBOPGSTBM,,,,-29931
09/30/2000,USBOPGSTBM,,,,-33333
